Состояние;Артикул;Название позиции;id_category;Количество;Ключи для поисковика;Заголовок вкладки браузера;Краткое описание;Краткое описание для поисковика;Описание;Цена;Ссылка изображения
1;glem_22928;Street кофта Свитшот   ;68;5;модный свитшот,красивый свитшот,стильный свитшот,купить женский свитшот,купить модный женский свитшот;Street кофта Свитшот    - интернет магазин Sample;Свитшот;Street кофта Свитшот    - интернет магазин Sample;"<p><strong>Состав<strong>:&nbsp;</strong><br /></strong>Дайвинг.<br />Принт только спереди. Спинка и рукава синие.&nbsp;</p>
<p><strong>Размерная сетка модели<strong>:&nbsp;</strong></strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
</tr>
<tr>
<td align=""left"">Обхват груди (см)</td>
<td align=""center"">88</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
</tr>
<tr>
<td align=""left"">Обхват талии (см)</td>
<td align=""center"">68</td>
<td align=""center"">72</td>
<td align=""center"">76</td>
</tr>
<tr>
<td align=""left"">Обхват бедер (см)</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
<td align=""center"">100</td>
</tr>
</tbody>
</table>
<p><strong>Параметры<strong>:&nbsp;</strong></strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
</tr>
<tr>
<td align=""left"">Длина изделия (см)</td>
<td align=""center"">60</td>
<td align=""center"">60</td>
<td align=""center"">60</td>
</tr>
<tr>
<td align=""left"">Длина рукава (см)</td>
<td align=""center"">58</td>
<td align=""center"">58</td>
<td align=""center"">58</td>
</tr>
</tbody>
</table>
<p><img title=""как мерять"" src=""../img/12157/796.png"" alt=""как мерять"" width=""200"" height=""127"" /></p>
<p>Рост модели на фото - 174 см.</p><br>Цвет-принт-электрик отделка<br>Размер-M, L";395;http://www.glem.com.ua/ii/images/ff18a5ff48c7c1afba7b61d30418c3e2.jpg,http://www.glem.com.ua/ii/images/08a4b119be7c96dda4c7acafddf2fc62.jpg
1;glem_24176;Swanky Monkey кофта Свитшот ;68;5;модный свитшот,красивый свитшот,стильный свитшот,купить женский свитшот,купить модный женский свитшот;Swanky Monkey кофта Свитшот  - интернет магазин Sample;Свитшот;Swanky Monkey кофта Свитшот  - интернет магазин Sample;"<p><strong>Состав<strong>:&nbsp;</strong><br /></strong>Внутренний слой &ndash; хлопок, внешний &ndash; с добавлением полиэстра. Свитшоты утепленные с начесом на внутреннем слое. Спинка черная</p>
<p><strong>Размерная сетка модели<strong>:&nbsp;</strong></strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
</tr>
<tr>
<td align=""left"">Обхват груди (см)</td>
<td align=""center"">88</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
</tr>
<tr>
<td align=""left"">Обхват талии (см)</td>
<td align=""center"">68</td>
<td align=""center"">72</td>
<td align=""center"">76</td>
</tr>
<tr>
<td align=""left"">Обхват бедер (см)</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
<td align=""center"">100</td>
</tr>
</tbody>
</table>
<p><strong>Параметры<strong>:&nbsp;</strong></strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
</tr>
<tr>
<td align=""left"">Длина изделия (см)</td>
<td align=""center"">60</td>
<td align=""center"">60</td>
<td align=""center"">61</td>
</tr>
<tr>
<td align=""left"">Длина рукава (см)</td>
<td align=""center"">57</td>
<td align=""center"">57</td>
<td align=""center"">58</td>
</tr>
</tbody>
</table>
<p><img title=""как мерять"" src=""../img/12157/796.png"" alt=""как мерять"" width=""200"" height=""127"" /></p><br>Цвет-принт-черная отделка<br>Размер-S, M, L";445;http://www.glem.com.ua/ii/images/2e86a739e504edfd1612739a62d53737.jpg
1;glem_24820;Viveros кофта Свитшот   ;68;5;модный свитшот,красивый свитшот,стильный свитшот,купить женский свитшот,купить модный женский свитшот;Viveros кофта Свитшот    - интернет магазин Sample;Свитшот;Viveros кофта Свитшот    - интернет магазин Sample;"<p><strong>Состав<strong>:&nbsp;</strong><br /></strong>Дайвинг.<br />Принт только спереди. Спинка и рукава черные.&nbsp;</p>
<p><strong>Размерная сетка модели<strong>:&nbsp;</strong></strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
</tr>
<tr>
<td align=""left"">Обхват груди (см)</td>
<td align=""center"">88</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
</tr>
<tr>
<td align=""left"">Обхват талии (см)</td>
<td align=""center"">68</td>
<td align=""center"">72</td>
<td align=""center"">76</td>
</tr>
<tr>
<td align=""left"">Обхват бедер (см)</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
<td align=""center"">100</td>
</tr>
</tbody>
</table>
<p><strong>Параметры<strong>:&nbsp;</strong></strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
</tr>
<tr>
<td align=""left"">Длина изделия (см)</td>
<td align=""center"">60</td>
<td align=""center"">60</td>
<td align=""center"">60</td>
</tr>
<tr>
<td align=""left"">Длина рукава (см)</td>
<td align=""center"">58</td>
<td align=""center"">58</td>
<td align=""center"">58</td>
</tr>
</tbody>
</table>
<p><img title=""как мерять"" src=""../img/12157/796.png"" alt=""как мерять"" width=""200"" height=""127"" /></p><br>Цвет-принт-черная отделка<br>Размер-M";395;http://www.glem.com.ua/ii/images/c45d8092e4a2771a3310aae85b64d161.jpg,http://www.glem.com.ua/ii/images/4fdd5d72ddf8ff42fff3aedf1928112b.jpg
1;glem_29637;Viveros кофта Свитшот Д ;68;5;модный свитшот,красивый свитшот,стильный свитшот,купить женский свитшот,купить модный женский свитшот;Viveros кофта Свитшот Д  - интернет магазин Sample;Свитшот;Viveros кофта Свитшот Д  - интернет магазин Sample;"<p><strong>Состав<strong>:&nbsp;</strong><br /></strong>Внутренний слой &ndash; хлопок, внешний &ndash; с добавлением полиэстра. Свитшоты утепленные с начесом на внутреннем слое.</p>
<p><strong>Размерная сетка модели<strong>:&nbsp;</strong></strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
</tr>
<tr>
<td align=""left"">Обхват груди (см)</td>
<td align=""center"">88</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
</tr>
<tr>
<td align=""left"">Обхват талии (см)</td>
<td align=""center"">68</td>
<td align=""center"">72</td>
<td align=""center"">76</td>
</tr>
<tr>
<td align=""left"">Обхват бедер (см)</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
<td align=""center"">100</td>
</tr>
</tbody>
</table>
<p><strong>Параметры<strong>:&nbsp;</strong></strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
</tr>
<tr>
<td align=""left"">Длина изделия (см)</td>
<td align=""center"">60</td>
<td align=""center"">60</td>
<td align=""center"">61</td>
</tr>
<tr>
<td align=""left"">Длина рукава (см)</td>
<td align=""center"">57</td>
<td align=""center"">57</td>
<td align=""center"">58</td>
</tr>
</tbody>
</table><br>Цвет-принт-черная отделка<br>Размер-S, M, L";445;http://www.glem.com.ua/ii/images/12fd47a2ae62f4d3981237bc212d0910.jpg,http://www.glem.com.ua/ii/images/2de12f45bda5edc3253938066add7593.jpg
1;glem_18683;Альфонс Муха кофта Свитшот   ;68;5;модный свитшот,красивый свитшот,стильный свитшот,купить женский свитшот,купить модный женский свитшот;Альфонс Муха кофта Свитшот    - интернет магазин Sample;Свитшот;Альфонс Муха кофта Свитшот    - интернет магазин Sample;"<p><strong>Состав<strong>:&nbsp;</strong><br /></strong>Дайвинг. Рисунок спереди и на рукавах, спинка белая.</p>
<p><strong>Размерная сетка модели<strong>:&nbsp;</strong></strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
</tr>
<tr>
<td align=""left"">Обхват груди (см)</td>
<td align=""center"">88</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
</tr>
<tr>
<td align=""left"">Обхват талии (см)</td>
<td align=""center"">68</td>
<td align=""center"">72</td>
<td align=""center"">76</td>
</tr>
<tr>
<td align=""left"">Обхват бедер (см)</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
<td align=""center"">100</td>
</tr>
</tbody>
</table>
<p><strong>Параметры<strong>:&nbsp;</strong></strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
</tr>
<tr>
<td align=""left"">Длина изделия (см)</td>
<td align=""center"">60</td>
<td align=""center"">60</td>
<td align=""center"">60</td>
</tr>
<tr>
<td align=""left"">Длина рукава (см)</td>
<td align=""center"">58</td>
<td align=""center"">58</td>
<td align=""center"">58</td>
</tr>
</tbody>
</table>
<p><img title=""как мерять"" src=""../img/12157/796.png"" alt=""как мерять"" width=""200"" height=""127"" /></p><br>Цвет-принт-белая отделка<br>Размер-M";430;http://www.glem.com.ua/ii/images/ab1434ea00225b950cf909abb6951a3b.jpg,http://www.glem.com.ua/ii/images/7bf01c363d73bb98b73a7f14b867a98e.jpg,http://www.glem.com.ua/ii/images/df33154b387ee17e823dd2dbbe8fec30.jpg
1;glem_23876;Белая обезьяна кофта Свитшот  ;68;5;модный свитшот,красивый свитшот,стильный свитшот,купить женский свитшот,купить модный женский свитшот;Белая обезьяна кофта Свитшот   - интернет магазин Sample;Свитшот;Белая обезьяна кофта Свитшот   - интернет магазин Sample;"<p><strong>Состав<strong>:&nbsp;</strong><br /></strong>Внутренний слой &ndash; хлопок, внешний &ndash; с добавлением полиэстра. Свитшоты утепленные с начесом на внутреннем слое.</p>
<p><strong>Размерная сетка модели<strong>:&nbsp;</strong></strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
</tr>
<tr>
<td align=""left"">Обхват груди (см)</td>
<td align=""center"">88</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
</tr>
<tr>
<td align=""left"">Обхват талии (см)</td>
<td align=""center"">68</td>
<td align=""center"">72</td>
<td align=""center"">76</td>
</tr>
<tr>
<td align=""left"">Обхват бедер (см)</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
<td align=""center"">100</td>
</tr>
</tbody>
</table>
<p><strong>Параметры<strong>:&nbsp;</strong></strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
</tr>
<tr>
<td align=""left"">Длина изделия (см)</td>
<td align=""center"">60</td>
<td align=""center"">60</td>
<td align=""center"">61</td>
</tr>
<tr>
<td align=""left"">Длина рукава (см)</td>
<td align=""center"">57</td>
<td align=""center"">57</td>
<td align=""center"">58</td>
</tr>
</tbody>
</table>
<p><img title=""как мерять"" src=""../img/12157/796.png"" alt=""как мерять"" width=""200"" height=""127"" /></p><br>Цвет-принт-серая отделка<br>Размер-S, M, L";480;http://www.glem.com.ua/ii/images/ff95c230228c44087f4f7d59246990d8.jpg,http://www.glem.com.ua/ii/images/8f7bff6866dab98b5e9bea1cf467e27f.jpg
1;glem_22137;Белый тигр кофта Свитшот   ;68;5;модный свитшот,красивый свитшот,стильный свитшот,купить женский свитшот,купить модный женский свитшот;Белый тигр кофта Свитшот    - интернет магазин Sample;Свитшот;Белый тигр кофта Свитшот    - интернет магазин Sample;"<p><strong>Состав<strong>:&nbsp;</strong><br /></strong>Дайвинг + масло кожа<br />Принт только спереди.</p>
<p><strong>Размерная сетка модели<strong>:&nbsp;</strong></strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
</tr>
<tr>
<td align=""left"">Обхват груди (см)</td>
<td align=""center"">88</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
</tr>
<tr>
<td align=""left"">Обхват талии (см)</td>
<td align=""center"">68</td>
<td align=""center"">72</td>
<td align=""center"">76</td>
</tr>
<tr>
<td align=""left"">Обхват бедер (см)</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
<td align=""center"">100</td>
</tr>
</tbody>
</table>
<p><strong>Параметры<strong>:&nbsp;</strong></strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
</tr>
<tr>
<td align=""left"">Длина изделия (см)</td>
<td align=""center"">60</td>
<td align=""center"">60</td>
<td align=""center"">60</td>
</tr>
<tr>
<td align=""left"">Длина рукава (см)</td>
<td align=""center"">58</td>
<td align=""center"">58</td>
<td align=""center"">58</td>
</tr>
</tbody>
</table>
<p><img title=""как мерять"" src=""../img/12157/796.png"" alt=""как мерять"" width=""200"" height=""127"" /></p>
<p>Рост модели на фото - 174 см.</p><br>Цвет-принт-черная отделка<br>Размер-S, M, L";430;http://www.glem.com.ua/ii/images/d5c7fcb63fed5dde72b12f5bd2d508a5.jpg
1;glem_25498;Версаче кофта Свитшот   ;68;5;модный свитшот,красивый свитшот,стильный свитшот,купить женский свитшот,купить модный женский свитшот;Версаче кофта Свитшот    - интернет магазин Sample;Свитшот;Версаче кофта Свитшот    - интернет магазин Sample;"<p><strong>Состав<strong>:&nbsp;</strong><br /></strong>Дайвинг.&nbsp;<br />Рисунок полностью покрывает свитшот: спереди, сзади, на рукавах.&nbsp;</p>
<p><strong>Размерная сетка модели<strong>:&nbsp;</strong></strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
</tr>
<tr>
<td align=""left"">Обхват груди (см)</td>
<td align=""center"">88</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
</tr>
<tr>
<td align=""left"">Обхват талии (см)</td>
<td align=""center"">68</td>
<td align=""center"">72</td>
<td align=""center"">76</td>
</tr>
<tr>
<td align=""left"">Обхват бедер (см)</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
<td align=""center"">100</td>
</tr>
</tbody>
</table>
<p><strong>Параметры<strong>:&nbsp;</strong></strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
</tr>
<tr>
<td align=""left"">Длина изделия (см)</td>
<td align=""center"">60</td>
<td align=""center"">60</td>
<td align=""center"">60</td>
</tr>
<tr>
<td align=""left"">Длина рукава (см)</td>
<td align=""center"">58</td>
<td align=""center"">58</td>
<td align=""center"">58</td>
</tr>
</tbody>
</table>
<p><img title=""как мерять"" src=""../img/12157/796.png"" alt=""как мерять"" width=""200"" height=""127"" /></p>
<p>Рост модели на фото: 167 см.</p><br>Цвет-принт-черная отделка<br>Размер-S";495;http://www.glem.com.ua/ii/images/637df9044a766040daab267fe73ba357.jpg,http://www.glem.com.ua/ii/images/1a90c4b32c2a7aa1c2b134024a212c1f.jpg
1;glem_18520;Винтажные розы кофта Свитшот   ;68;5;модный свитшот,красивый свитшот,стильный свитшот,купить женский свитшот,купить модный женский свитшот;Винтажные розы кофта Свитшот    - интернет магазин Sample;Свитшот;Винтажные розы кофта Свитшот    - интернет магазин Sample;"<p><strong>Состав<strong>:&nbsp;</strong></strong></p>
<p>Дайвинг. <br />Принт только спереди. Спинка черная.</p>
<p><strong>Размерная сетка модели<strong>:&nbsp;</strong></strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
</tr>
<tr>
<td align=""left"">Обхват груди (см)</td>
<td align=""center"">88</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
</tr>
<tr>
<td align=""left"">Обхват талии (см)</td>
<td align=""center"">68</td>
<td align=""center"">72</td>
<td align=""center"">76</td>
</tr>
<tr>
<td align=""left"">Обхват бедер (см)</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
<td align=""center"">100</td>
</tr>
</tbody>
</table>
<p><strong>Параметры<strong>:&nbsp;</strong></strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
</tr>
<tr>
<td align=""left"">Длина изделия (см)</td>
<td align=""center"">60</td>
<td align=""center"">60</td>
<td align=""center"">60</td>
</tr>
<tr>
<td align=""left"">Длина рукава (см)</td>
<td align=""center"">58</td>
<td align=""center"">58</td>
<td align=""center"">58</td>
</tr>
</tbody>
</table>
<p><img title=""как мерять"" src=""../img/12157/796.png"" alt=""как мерять"" width=""200"" height=""127"" /></p><br>Цвет-принт-черная отделка<br>Размер-S";395;http://www.glem.com.ua/ii/images/bfef1eb4ee000654b08d9bf77ca03d37.jpg,http://www.glem.com.ua/ii/images/64a3720c38a0eef392cb2e3401d773fe.jpg,http://www.glem.com.ua/ii/images/6b7e889e19ee607ecc04ea0b81f675a7.jpg
1;glem_18484;Витраж кофта Свитшот  ;68;5;модный свитшот,красивый свитшот,стильный свитшот,купить женский свитшот,купить модный женский свитшот;Витраж кофта Свитшот   - интернет магазин Sample;Свитшот;Витраж кофта Свитшот   - интернет магазин Sample;"<p><strong>Состав<strong>:&nbsp;</strong></strong></p>
<p>Дайвинг.<br /><span>Рисунок полностью покрывает свитшот: спереди, сзади, на рукавах.</span>&nbsp;</p>
<p><strong>Размерная сетка модели<strong>:&nbsp;</strong></strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
</tr>
<tr>
<td align=""left"">Обхват груди (см)</td>
<td align=""center"">88</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
</tr>
<tr>
<td align=""left"">Обхват талии (см)</td>
<td align=""center"">68</td>
<td align=""center"">72</td>
<td align=""center"">76</td>
</tr>
<tr>
<td align=""left"">Обхват бедер (см)</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
<td align=""center"">100</td>
</tr>
</tbody>
</table>
<p><strong>Параметры<strong>:&nbsp;</strong></strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
</tr>
<tr>
<td align=""left"">Длина изделия (см)</td>
<td align=""center"">60</td>
<td align=""center"">60</td>
<td align=""center"">60</td>
</tr>
<tr>
<td align=""left"">Длина рукава (см)</td>
<td align=""center"">58</td>
<td align=""center"">58</td>
<td align=""center"">58</td>
</tr>
</tbody>
</table>
<p><img title=""как мерять"" src=""../img/12157/796.png"" alt=""как мерять"" width=""200"" height=""127"" /></p>
<p>Рост модели на фото - 174 см.</p><br>Цвет-принт-черная отделка<br>Размер-S, M, L";495;http://www.glem.com.ua/ii/images/205b1c1b82dc65ce92b63c268dffafde.jpg,http://www.glem.com.ua/ii/images/27b8d1eee6b7415b7ce6fbcf1ac98585.jpg,http://www.glem.com.ua/ii/images/e1e8e3afe2c98347c8230fc04e94196e.jpg
1;glem_24421;Геометрический узор кофта Свитшот;68;5;модный свитшот,красивый свитшот,стильный свитшот,купить женский свитшот,купить модный женский свитшот;Геометрический узор кофта Свитшот - интернет магазин Sample;Свитшот;Геометрический узор кофта Свитшот - интернет магазин Sample;"<p><strong>Состав<strong>:&nbsp;</strong><br /></strong>Внутренний слой &ndash; хлопок, внешний &ndash; с добавлением полиэстра. Свитшоты утепленные с начесом на внутреннем слое.&nbsp;</p>
<p><strong>Размерная сетка модели<strong>:&nbsp;</strong></strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
</tr>
<tr>
<td align=""left"">Обхват груди (см)</td>
<td align=""center"">88</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
</tr>
<tr>
<td align=""left"">Обхват талии (см)</td>
<td align=""center"">68</td>
<td align=""center"">72</td>
<td align=""center"">76</td>
</tr>
<tr>
<td align=""left"">Обхват бедер (см)</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
<td align=""center"">100</td>
</tr>
</tbody>
</table>
<p><strong>Параметры<strong>:&nbsp;</strong></strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
</tr>
<tr>
<td align=""left"">Длина изделия (см)</td>
<td align=""center"">60</td>
<td align=""center"">60</td>
<td align=""center"">61</td>
</tr>
<tr>
<td align=""left"">Длина рукава (см)</td>
<td align=""center"">57</td>
<td align=""center"">57</td>
<td align=""center"">58</td>
</tr>
</tbody>
</table>
<p><img title=""как мерять"" src=""../img/12157/796.png"" alt=""как мерять"" width=""200"" height=""127"" /></p><br>Цвет-принт-т.синяя отделка<br>Размер-M, L";515;http://www.glem.com.ua/ii/images/bd412203161b0a858a40e0ba6ab195d4.jpg,http://www.glem.com.ua/ii/images/116568b9417925072d883579a3431176.jpg
